Album Name,Release Date,Sales_us,,,,
Taylor Swift Album,2006-10-24,5800000,,,,
Fearless,2008-11-11,7300000,,,,
Speak Now,2010-10-25,4800000,,,,
Red,2012-10-22,4500000,,,,
1989,2014-10-27,6300000,,,,
Reputation,2017-11-10,2400000,,,,
Lover,2019-08-23,1500000,,,,
Folklore,2020-07-24,1700000,,,,
Evermore,2020-12-11,913000,,,,
