,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
150,0.615,0.534,0.8181818181818182,0.7025094835132768,0,0.0386,0.106,1.76e-05,0.0607,0.193,0.7368878220376859,236413,Don’t Blame Me,0.4241271262309758,Reputation
151,0.75,0.404,0.8181818181818182,0.45017508024511227,0,0.0682,0.216,0.000357,0.0911,0.0499,0.5895758545622306,232253,Delicate,0.4241271262309758,Reputation
153,0.574,0.61,0.18181818181818182,0.6613656259118762,1,0.0732,0.122,1.1e-06,0.13,0.374,0.5171741418335424,227907,So It Goes...,0.4241271262309758,Reputation
158,0.719,0.469,0.0,0.5512839217974905,1,0.0533,0.0329,0.0,0.169,0.0851,0.679825699580468,230373,Dress,0.4241271262309758,Reputation
155,0.562,0.689,0.18181818181818182,0.7006127808578931,1,0.127,0.00465,2.23e-06,0.0888,0.351,0.8671337744907228,233627,Getaway Car,0.4241271262309758,Reputation
156,0.675,0.703,0.0,0.6162095126933177,1,0.0382,0.00882,2.21e-06,0.0391,0.314,0.6435131121779624,214320,King Of My Heart,0.4241271262309758,Reputation
157,0.624,0.691,0.0,0.7049168368835717,0,0.196,0.0604,1.1e-05,0.138,0.284,0.823774923229964,211507,Dancing With Our Hands Tied,0.4241271262309758,Reputation
159,0.567,0.789,0.45454545454545453,0.7559819083746717,1,0.115,0.0156,0.0,0.382,0.438,0.8379611608494444,207133,This Is Why We Can't Have Nice Things,0.4241271262309758,Reputation
161,0.661,0.151,0.0,0.25423110592354825,1,0.0354,0.921,0.0,0.13,0.23,0.5891325346366219,235467,New Year’s Day,0.4241271262309758,Reputation
154,0.8,0.535,0.6363636363636364,0.7050627370878318,1,0.135,0.0713,9.48e-06,0.213,0.451,0.5786982973631475,209680,Gorgeous,0.4241271262309758,Reputation
160,0.598,0.504,0.8181818181818182,0.4723519112926758,1,0.0731,0.186,0.000221,0.34,0.252,0.8379395354872194,203507,Call It What You Want,0.4241271262309758,Reputation
137,0.764,0.373,0.8181818181818182,0.5154654216515904,0,0.0546,0.0228,0.224,0.112,0.0709,0.7082306128627655,211200,Look What You Made Me Do - Karaoke Version,0.39749328558639213,x
132,0.606,0.814,1.0,0.5997227896119055,0,0.0716,0.0155,0.264,0.193,0.191,0.8237028386892148,207173,...Ready For It? - Karaoke Version,0.39749328558639213,x
133,0.746,0.528,0.6363636363636364,0.7327837758972863,1,0.0449,0.000908,0.443,0.0713,0.0719,0.8202391765062065,243827,End Game - Karaoke Version,0.39749328558639213,x
134,0.756,0.517,0.7272727272727273,0.6442953020134229,1,0.194,0.169,0.158,0.0588,0.178,0.5461989821662847,238253,I Did Something Bad - Karaoke Version,0.39749328558639213,x
135,0.55,0.456,0.8181818181818182,0.6731105923548293,0,0.038,0.211,0.532,0.0291,0.0764,0.736621109236913,236413,Don't Blame Me - Karaoke Version,0.39749328558639213,x
136,0.714,0.332,0.8181818181818182,0.31412313977239575,0,0.0505,0.249,0.148,0.0649,0.0429,0.589410060118507,232253,Delicate - Karaoke Version,0.39749328558639213,x
138,0.256,0.53,0.18181818181818182,0.45053983075576304,1,0.045,0.072,0.284,0.202,0.25,0.5239609013450977,227907,So It Goes... - Karaoke Version,0.39749328558639213,x
140,0.497,0.682,0.18181818181818182,0.5606944849722789,1,0.043,0.00515,0.768,0.0923,0.158,0.8671553998529475,233627,Getaway Car - Karaoke Version,0.39749328558639213,x
139,0.76,0.462,0.6363636363636364,0.6348847388386343,1,0.0484,0.036,0.467,0.266,0.335,0.57870911004426,209680,Gorgeous - Karaoke Version,0.39749328558639213,x
