,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_name,age,album_name
212,0.684,0.486,0.09090909090909091,0.7252857290839406,1,0.132,0.00268,0.000148,0.157,0.355,0.7380949704130925,219893,Make Me Proud,0.8562710437710438,Take Care
193,0.737,0.494,0.09090909090909091,0.7402023410793825,0,0.416,0.629,0.0,0.126,0.44,0.597831667547341,322160,From Time,0.7693602693602694,Nothing Was the Same
187,0.432,0.681,0.5454545454545454,0.8894720486171057,1,0.437,0.114,0.0,0.236,0.296,0.5352775622936505,366400,Tuscan Leather,0.7693602693602694,Nothing Was the Same
188,0.485,0.78,0.8181818181818182,0.8942716066434171,0,0.142,0.149,0.0,0.0568,0.267,0.7570538260612125,267373,Furthest Thing,0.7693602693602694,Nothing Was the Same
189,0.794,0.523,0.7272727272727273,0.8056006353371776,1,0.161,0.0331,0.0,0.156,0.56,0.567184203327075,174120,Started From the Bottom,0.7693602693602694,Nothing Was the Same
190,0.855,0.433,0.09090909090909091,0.7842615931770313,0,0.15,0.0414,0.0,0.1,0.394,0.6184057172623397,217600,Wu-Tang Forever,0.7693602693602694,Nothing Was the Same
191,0.652,0.345,0.7272727272727273,0.6850937467628881,0,0.119,0.0437,3.59e-05,0.297,0.304,0.630795117691809,252053,Own It,0.7693602693602694,Nothing Was the Same
192,0.777,0.778,0.8181818181818182,0.8567038430993406,1,0.136,0.156,1.08e-06,0.196,0.437,0.6556938401520006,270200,Worst Behavior,0.7693602693602694,Nothing Was the Same
195,0.685,0.489,0.5454545454545454,0.74886916888229,0,0.152,0.411,0.0,0.132,0.461,0.5248781109349763,296400,Connect,0.7693602693602694,Nothing Was the Same
196,0.823,0.662,0.6363636363636364,0.784986706260143,1,0.318,0.0118,0.0,0.0805,0.533,0.6938888701511388,224040,The Language,0.7693602693602694,Nothing Was the Same
197,0.519,0.487,0.36363636363636365,0.7719691999585649,0,0.242,0.0515,0.0,0.15,0.126,0.6645230680442661,255827,305 To My City,0.7693602693602694,Nothing Was the Same
198,0.668,0.565,0.5454545454545454,0.8729325644832706,1,0.505,0.171,0.0,0.124,0.142,0.7702339595489449,261867,Too Much,0.7693602693602694,Nothing Was the Same
199,0.521,0.762,0.18181818181818182,0.8429957529090847,1,0.529,0.138,1.11e-05,0.114,0.266,0.8586798880232048,433800,Pound Cake / Paris Morton Music 2,0.7693602693602694,Nothing Was the Same
200,0.472,0.468,0.2727272727272727,0.8751424329270399,1,0.184,0.163,0.0,0.586,0.404,0.5508186523060549,236360,Come Thru,0.7693602693602694,Nothing Was the Same
201,0.668,0.515,0.09090909090909091,0.8350195089948552,1,0.402,0.0703,0.0,0.223,0.425,0.7009979725754288,271573,All Me,0.7693602693602694,Nothing Was the Same
202,0.676,0.717,1.0,0.7921342495079591,0,0.0874,0.29,0.000368,0.0974,0.558,0.8344632196701406,241000,The Motion,0.7693602693602694,Nothing Was the Same
194,0.773,0.414,0.5454545454545454,0.8191706087496979,0,0.0961,0.00411,3.4e-05,0.0733,0.289,0.6184731731630446,227880,"Hold On, We're Going Home",0.7693602693602694,Nothing Was the Same
170,0.714,0.563,0.09090909090909091,0.8144055799178205,1,0.0723,0.0266,0.0,0.0776,0.31,0.6188404330668825,241853,Legend,0.6069023569023569,h
171,0.747,0.571,1.0,0.8025965954214288,1,0.478,0.38,0.0,0.534,0.553,0.8887127540370483,181933,Energy,0.6069023569023569,h
172,0.825,0.756,1.0,0.9486205586823659,0,0.383,0.265,2.15e-06,0.0762,0.888,0.8918382107697093,177733,10 Bands,0.6069023569023569,h
176,0.868,0.623,0.18181818181818182,0.7791512724008148,1,0.101,0.0249,0.0,0.125,0.498,0.6389085635265944,180667,6 God,0.6069023569023569,h
